competition_name,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
Champions League,1034678,M. Bîrsan,UTC,2023-06-27T13:00:00+00:00,1687870800,1687870800,1687874400,820.0,Kópavogsvöllur,Kópavogur,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Preliminary Round,True,3345,Atlètic Club d'Escaldes,https://media.api-sports.io/football/teams/3345.png,False,579,Buducnost Podgorica,https://media.api-sports.io/football/teams/579.png,True,0,3,0,2,0,3,,,,
Champions League,1034679,M. Kristoffersen,UTC,2023-06-27T19:00:00+00:00,1687892400,1687892400,1687896000,820.0,Kópavogsvöllur,Kópavogur,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Preliminary Round,True,700,Tre Penne,https://media.api-sports.io/football/teams/700.png,False,276,Breidablik,https://media.api-sports.io/football/teams/276.png,True,1,7,1,3,1,7,,,,
Champions League,1042850,K. Jakubik,UTC,2023-06-30T19:00:00+00:00,1688151600,1688151600,1688155200,820.0,Kópavogsvöllur,Kópavogur,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,Preliminary Round,True,579,Buducnost Podgorica,https://media.api-sports.io/football/teams/579.png,False,276,Breidablik,https://media.api-sports.io/football/teams/276.png,True,0,5,0,4,0,5,,,,
Champions League,1036636,P. Farrugia,UTC,2023-07-11T15:00:00+00:00,1689087600,1689087600,1689091200,119.0,Urartu Stadium,Yerevan,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,1st Qualifying Round,True,2276,FC Urartu,https://media.api-sports.io/football/teams/2276.png,False,588,Zrinjski,https://media.api-sports.io/football/teams/588.png,True,0,1,0,0,0,1,,,,
Champions League,1036626,V. Spasjoņņikovs,UTC,2023-07-11T15:30:00+00:00,1689089400,1689089400,1689093000,760.0,Victoria Stadium,Gibraltar,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,1st Qualifying Round,True,667,Lincoln Red Imps FC,https://media.api-sports.io/football/teams/667.png,False,556,Qarabag,https://media.api-sports.io/football/teams/556.png,True,1,2,1,0,1,2,,,,
Champions League,1036618,E. Məsiyev,UTC,2023-07-11T16:00:00+00:00,1689091200,1689091200,1689094800,1030.0,Vilniaus LFF stadionas,Vilnius,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,1st Qualifying Round,True,586,FK Zalgiris Vilnius,https://media.api-sports.io/football/teams/586.png,,4346,Struga,https://media.api-sports.io/football/teams/4346.png,,0,0,0,0,0,0,,,,
Champions League,1036622,A. Chivulete,UTC,2023-07-11T18:00:00+00:00,1689098400,1689098400,1689102000,1442.0,Stadion Stožice,Ljubljana,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,1st Qualifying Round,True,677,Olimpija Ljubljana,https://media.api-sports.io/football/teams/677.png,True,4153,Valmiera / BSS,https://media.api-sports.io/football/teams/4153.png,False,2,1,1,0,2,1,,,,
Champions League,1036628,A. Kardeşler,UTC,2023-07-11T18:00:00+00:00,1689098400,1689098400,1689102000,18633.0,Miejski Stadion Piłkarski Raków,Częstochowa,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,1st Qualifying Round,True,3491,Raków Częstochowa,https://media.api-sports.io/football/teams/3491.png,True,687,Flora Tallinn,https://media.api-sports.io/football/teams/687.png,False,1,0,0,0,1,0,,,,
Champions League,1036634,D. Robertson,UTC,2023-07-11T18:00:00+00:00,1689098400,1689098400,1689102000,1067.0,MFA Centenary Stadium,Ta'Qali,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,1st Qualifying Round,True,4626,Hamrun Spartans,https://media.api-sports.io/football/teams/4626.png,False,4195,Maccabi Haifa,https://media.api-sports.io/football/teams/4195.png,True,0,4,0,2,0,4,,,,
Champions League,1047017,C. Theouli,UTC,2023-07-11T18:45:00+00:00,1689101100,1689101100,1689104700,865.0,Tallaght Stadium,Dublin,Match Finished,FT,90,,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2023,1st Qualifying Round,True,652,Shamrock Rovers,https://media.api-sports.io/football/teams/652.png,False,276,Breidablik,https://media.api-sports.io/football/teams/276.png,True,0,1,0,1,0,1,,,,
