competition_name,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
Championship,1047434,R. Madley,UTC,2023-08-04T19:00:00+00:00,1691175600,1691175600,1691179200,582.0,Hillsborough,Sheffield,Match Finished,FT,90,,40,Championship,England,https://media.api-sports.io/football/leagues/40.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,74,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,False,41,Southampton,https://media.api-sports.io/football/teams/41.png,True,1,2,0,1,1,2,,,,
Championship,1047442,T. Bramall,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,596.0,Vicarage Road,Watford,Match Finished,FT,90,,40,Championship,England,https://media.api-sports.io/football/leagues/40.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,38,Watford,https://media.api-sports.io/football/teams/38.png,True,72,QPR,https://media.api-sports.io/football/teams/72.png,False,4,0,4,0,4,0,,,,
Championship,1047436,D. Webb,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,20106.0,Ashton Gate Stadium,Bristol,Match Finished,FT,90,,40,Championship,England,https://media.api-sports.io/football/leagues/40.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,56,Bristol City,https://media.api-sports.io/football/teams/56.png,,59,Preston,https://media.api-sports.io/football/teams/59.png,,1,1,0,0,1,1,,,,
Championship,1047435,D. Whitestone,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,500.0,Ewood Park,"Blackburn, Lancashire",Match Finished,FT,90,,40,Championship,England,https://media.api-sports.io/football/leagues/40.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,67,Blackburn,https://media.api-sports.io/football/teams/67.png,True,60,West Brom,https://media.api-sports.io/football/teams/60.png,False,2,1,2,0,2,1,,,,
Championship,1047437,G. Ward,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,558.0,Riverside Stadium,Middlesbrough,Match Finished,FT,90,,40,Championship,England,https://media.api-sports.io/football/leagues/40.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,False,58,Millwall,https://media.api-sports.io/football/teams/58.png,True,0,1,0,0,0,1,,,,
Championship,1047438,K. Stroud,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,565.0,Carrow Road,"Norwich, Norfolk",Match Finished,FT,90,,40,Championship,England,https://media.api-sports.io/football/leagues/40.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,71,Norwich,https://media.api-sports.io/football/teams/71.png,True,64,Hull City,https://media.api-sports.io/football/teams/64.png,False,2,1,1,1,2,1,,,,
Championship,1047440,J. Busby,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,588.0,bet365 Stadium,"Stoke-on-Trent, Staffordshire",Match Finished,FT,90,,40,Championship,England,https://media.api-sports.io/football/leagues/40.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,75,Stoke City,https://media.api-sports.io/football/teams/75.png,True,73,Rotherham,https://media.api-sports.io/football/teams/73.png,False,4,1,3,0,4,1,,,,
Championship,1047441,J. Linington,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,12273.0,Swansea.com Stadium,Swansea,Match Finished,FT,90,,40,Championship,England,https://media.api-sports.io/football/leagues/40.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,76,Swansea,https://media.api-sports.io/football/teams/76.png,,54,Birmingham,https://media.api-sports.io/football/teams/54.png,,1,1,0,1,1,1,,,,
Championship,1047439,M. Donohue,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,571.0,Home Park,Plymouth,Match Finished,FT,90,,40,Championship,England,https://media.api-sports.io/football/leagues/40.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,1357,Plymouth,https://media.api-sports.io/football/teams/1357.png,True,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,False,3,1,1,1,3,1,,,,
Championship,1047443,D. Bond,UTC,2023-08-06T11:00:00+00:00,1691319600,1691319600,1691323200,547.0,King Power Stadium,"Leicester, Leicestershire",Match Finished,FT,90,,40,Championship,England,https://media.api-sports.io/football/leagues/40.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,46,Leicester,https://media.api-sports.io/football/teams/46.png,True,1346,Coventry,https://media.api-sports.io/football/teams/1346.png,False,2,1,0,0,2,1,,,,
