competition_name,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
Europa League,1104954,H. Feșnic,UTC,2023-08-08T14:00:00+00:00,1691503200,1691503200,1691506800,989.0,Astana Arena,Astana,Match Finished,FT,90,,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2023,3rd Qualifying Round,True,562,FC Astana,https://media.api-sports.io/football/teams/562.png,True,566,Ludogorets,https://media.api-sports.io/football/teams/566.png,False,2,1,1,1,2,1,,,,
Europa League,1104956,R. Reinshreiber,UTC,2023-08-10T16:00:00+00:00,1691683200,1691683200,1691686800,5799.0,Tofiq Bəhramov adına Respublika stadionu,Baku,Match Finished,FT,90,,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2023,3rd Qualifying Round,True,556,Qarabag,https://media.api-sports.io/football/teams/556.png,True,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,False,2,1,0,0,2,1,,,,
Europa League,1104958,M. Balakin,UTC,2023-08-10T16:00:00+00:00,1691683200,1691683200,1691686800,1030.0,Vilniaus LFF stadionas,Vilnius,Match Finished,FT,90,,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2023,3rd Qualifying Round,True,586,FK Zalgiris Vilnius,https://media.api-sports.io/football/teams/586.png,False,367,BK Hacken,https://media.api-sports.io/football/teams/367.png,True,1,3,0,1,1,3,,,,
Europa League,1104377,L. Visser,UTC,2023-08-10T17:00:00+00:00,1691686800,1691686800,1691690400,18856.0,Fortuna Arena,Praha,Match Finished,FT,90,,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2023,3rd Qualifying Round,True,560,Slavia Praha,https://media.api-sports.io/football/teams/560.png,True,3623,Dnipro-1,https://media.api-sports.io/football/teams/3623.png,False,3,0,2,0,3,0,,,,
Europa League,1104960,M. Al Hakim,UTC,2023-08-10T17:00:00+00:00,1691686800,1691686800,1691690400,1093.0,Bolshaya Sportivnaya Arena,Tiraspol,Match Finished,FT,90,,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2023,3rd Qualifying Round,True,568,Sheriff Tiraspol,https://media.api-sports.io/football/teams/568.png,True,388,Bate Borisov,https://media.api-sports.io/football/teams/388.png,False,5,1,2,0,5,1,,,,
Europa League,1104964,G. Nyberg,UTC,2023-08-10T19:00:00+00:00,1691694000,1691694000,1691697600,,Stadio Georgios Karaiskáki,Piraeus,Match Finished,FT,90,,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2023,3rd Qualifying Round,True,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,True,742,Genk,https://media.api-sports.io/football/teams/742.png,False,1,0,1,0,1,0,,,,
Europa League,1104962,N. Walsh,UTC,2023-08-10T19:00:00+00:00,1691694000,1691694000,1691697600,202.0,Stadion Bijeli Brijeg,Mostar,Match Finished,FT,90,,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2023,3rd Qualifying Round,True,588,Zrinjski,https://media.api-sports.io/football/teams/588.png,True,276,Breidablik,https://media.api-sports.io/football/teams/276.png,False,6,2,5,0,6,2,,,,
Europa League,1104957,W. Delajod,UTC,2023-08-17T16:00:00+00:00,1692288000,1692288000,1692291600,615.0,Bolt Arena,Helsinki,Match Finished,FT,90,,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2023,3rd Qualifying Round,True,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,False,556,Qarabag,https://media.api-sports.io/football/teams/556.png,True,1,2,1,1,1,2,,,,
Europa League,1104959,António Nobre,UTC,2023-08-17T17:00:00+00:00,1692291600,1692291600,1692295200,1511.0,Bravida Arena,Göteborg,Match Finished,FT,90,,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2023,3rd Qualifying Round,True,367,BK Hacken,https://media.api-sports.io/football/teams/367.png,True,586,FK Zalgiris Vilnius,https://media.api-sports.io/football/teams/586.png,False,5,0,1,0,5,0,,,,
Europa League,1104963,A. Papapetrou,UTC,2023-08-17T17:30:00+00:00,1692293400,1692293400,1692297000,820.0,Kópavogsvöllur,Kópavogur,Match Finished,FT,90,,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2023,3rd Qualifying Round,True,276,Breidablik,https://media.api-sports.io/football/teams/276.png,True,588,Zrinjski,https://media.api-sports.io/football/teams/588.png,False,1,0,0,0,1,0,,,,
