competition_name,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
League 1,1039298,S. Mather,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,12052.0,Select Car Leasing Stadium,"Reading, Berkshire",Match Finished,FT,90,,41,League One,England,https://media.api-sports.io/football/leagues/41.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,53,Reading,https://media.api-sports.io/football/teams/53.png,False,1350,Peterborough,https://media.api-sports.io/football/teams/1350.png,True,0,1,0,1,0,1,,,,
League 1,1039291,W. Finnie,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,19923.0,Toughsheet Community Stadium,Bolton,Match Finished,FT,90,,41,League One,England,https://media.api-sports.io/football/leagues/41.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,68,Bolton,https://media.api-sports.io/football/teams/68.png,True,1379,Lincoln,https://media.api-sports.io/football/teams/1379.png,False,3,0,1,0,3,0,,,,
League 1,1039295,S. Oldham,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,527.0,Pride Park Stadium,Derby,Match Finished,FT,90,,41,League One,England,https://media.api-sports.io/football/leagues/41.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,69,Derby,https://media.api-sports.io/football/teams/69.png,False,61,Wigan,https://media.api-sports.io/football/teams/61.png,True,1,2,0,1,1,2,,,,
League 1,1039289,D. Rock,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,497.0,Oakwell,"Barnsley, South Yorkshire",Match Finished,FT,90,,41,League One,England,https://media.api-sports.io/football/leagues/41.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,747,Barnsley,https://media.api-sports.io/football/teams/747.png,True,1351,Port Vale,https://media.api-sports.io/football/teams/1351.png,False,7,0,2,0,7,0,,,,
League 1,1039294,A. Kitchen,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,518.0,The Valley,London,Match Finished,FT,90,,41,League One,England,https://media.api-sports.io/football/leagues/41.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,True,1373,Leyton Orient,https://media.api-sports.io/football/teams/1373.png,False,1,0,1,0,1,0,,,,
League 1,1039296,L. Smith,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,11881.0,Sixfields Stadium,"Northampton, East Midlands",Match Finished,FT,90,,41,League One,England,https://media.api-sports.io/football/leagues/41.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,1337,Northampton,https://media.api-sports.io/football/teams/1337.png,False,1368,Stevenage,https://media.api-sports.io/football/teams/1368.png,True,0,1,0,0,0,1,,,,
League 1,1039299,C. Pollard,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,19925.0,The Croud Meadow,"Shrewsbury, Shropshire",Match Finished,FT,90,,41,League One,England,https://media.api-sports.io/football/leagues/41.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,1352,Shrewsbury,https://media.api-sports.io/football/teams/1352.png,True,1372,Cheltenham,https://media.api-sports.io/football/teams/1372.png,False,1,0,0,0,1,0,,,,
League 1,1039297,S. Allison,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,573.0,Fratton Park,Portsmouth,Match Finished,FT,90,,41,League One,England,https://media.api-sports.io/football/leagues/41.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,1355,Portsmouth,https://media.api-sports.io/football/teams/1355.png,,1334,Bristol Rovers,https://media.api-sports.io/football/teams/1334.png,,1,1,0,1,1,1,,,,
League 1,1039290,S. Stockbridge,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,501.0,Bloomfield Road,"Blackpool, Lancashire",Match Finished,FT,90,,41,League One,England,https://media.api-sports.io/football/leagues/41.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,1356,Blackpool,https://media.api-sports.io/football/teams/1356.png,True,748,Burton Albion,https://media.api-sports.io/football/teams/748.png,False,2,0,2,0,2,0,,,,
League 1,1039300,C. Breakspear,UTC,2023-08-05T14:00:00+00:00,1691244000,1691244000,1691247600,602.0,Adams Park,"High Wycombe, Buckinghamshire",Match Finished,FT,90,,41,League One,England,https://media.api-sports.io/football/leagues/41.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,1358,Wycombe,https://media.api-sports.io/football/teams/1358.png,False,1364,Exeter City,https://media.api-sports.io/football/teams/1364.png,True,0,3,0,2,0,3,,,,
