competition_name,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
League Cup,1040398,O. Langford,UTC,2023-08-08T18:00:00+00:00,1691517600,1691517600,1691521200,543.0,John Smith's Stadium,"Huddersfield, West Yorkshire",Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,False,70,Middlesbrough,https://media.api-sports.io/football/teams/70.png,True,2,3,1,1,2,3,,,,
League Cup,1040368,P. Wright,UTC,2023-08-08T18:30:00+00:00,1691519400,1691519400,1691523000,12273.0,Swansea.com Stadium,Swansea,Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,76,Swansea,https://media.api-sports.io/football/teams/76.png,True,1337,Northampton,https://media.api-sports.io/football/teams/1337.png,False,3,0,1,0,3,0,,,,
League Cup,1040381,T. Nield,UTC,2023-08-08T18:30:00+00:00,1691519400,1691519400,1691523000,570.0,Weston Homes Stadium,Peterborough,Match Finished,PEN,120,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,1350,Peterborough,https://media.api-sports.io/football/teams/1350.png,True,1353,Swindon Town,https://media.api-sports.io/football/teams/1353.png,False,1,1,1,0,1,1,0.0,0.0,4.0,1.0
League Cup,1040371,S. Simpson,UTC,2023-08-08T18:30:00+00:00,1691519400,1691519400,1691523000,,Rodney Parade,Casnewydd,Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,1367,Newport County,https://media.api-sports.io/football/teams/1367.png,True,1335,Charlton,https://media.api-sports.io/football/teams/1335.png,False,3,1,0,1,3,1,,,,
League Cup,1040385,S. Jackson,UTC,2023-08-08T18:30:00+00:00,1691519400,1691519400,1691523000,557.0,One Call Stadium,"Mansfield, Nottinghamshire",Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,1374,Mansfield Town,https://media.api-sports.io/football/teams/1374.png,True,1365,Grimsby,https://media.api-sports.io/football/teams/1365.png,False,2,0,1,0,2,0,,,,
League Cup,1040376,L. Doughty,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,559.0,The Den,London,Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,58,Millwall,https://media.api-sports.io/football/teams/58.png,False,53,Reading,https://media.api-sports.io/football/teams/53.png,True,0,4,0,1,0,4,,,,
League Cup,1040389,T. Reeves,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,574.0,Deepdale,Preston,Match Finished,PEN,120,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,59,Preston,https://media.api-sports.io/football/teams/59.png,False,1844,Salford City,https://media.api-sports.io/football/teams/1844.png,True,2,2,1,2,2,2,0.0,0.0,2.0,4.0
League Cup,1040384,S. Mather,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,12051.0,The MKM Stadium,Hull,Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,64,Hull City,https://media.api-sports.io/football/teams/64.png,False,1354,Doncaster,https://media.api-sports.io/football/teams/1354.png,True,1,2,1,1,1,2,,,,
League Cup,1040397,B. Speedie,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,500.0,Ewood Park,"Blackburn, Lancashire",Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,67,Blackburn,https://media.api-sports.io/football/teams/67.png,True,1342,Walsall,https://media.api-sports.io/football/teams/1342.png,False,4,3,2,2,4,3,,,,
League Cup,1040383,A. Backhouse,UTC,2023-08-08T18:45:00+00:00,1691520300,1691520300,1691523900,19923.0,Toughsheet Community Stadium,Bolton,Match Finished,FT,90,,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb-eng.svg,2023,1st Round,False,68,Bolton,https://media.api-sports.io/football/teams/68.png,True,1819,Barrow,https://media.api-sports.io/football/teams/1819.png,False,1,0,1,0,1,0,,,,
