competition_name,fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
Premier League,1035037,C. Pawson,UTC,2023-08-11T19:00:00+00:00,1691780400,1691780400,1691784000,512.0,Turf Moor,Burnley,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,44,Burnley,https://media.api-sports.io/football/teams/44.png,False,50,Manchester City,https://media.api-sports.io/football/teams/50.png,True,0,3,0,2,0,3,,,,
Premier League,1035038,M. Oliver,UTC,2023-08-12T11:30:00+00:00,1691839800,1691839800,1691843400,494.0,Emirates Stadium,London,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,42,Arsenal,https://media.api-sports.io/football/teams/42.png,True,65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,False,2,1,2,0,2,1,,,,
Premier League,1035039,P. Bankes,UTC,2023-08-12T14:00:00+00:00,1691848800,1691848800,1691852400,504.0,Vitality Stadium,"Bournemouth, Dorset",Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,35,Bournemouth,https://media.api-sports.io/football/teams/35.png,,48,West Ham,https://media.api-sports.io/football/teams/48.png,,1,1,0,0,1,1,,,,
Premier League,1035041,S. Attwell,UTC,2023-08-12T14:00:00+00:00,1691848800,1691848800,1691852400,8560.0,Goodison Park,Liverpool,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,45,Everton,https://media.api-sports.io/football/teams/45.png,False,36,Fulham,https://media.api-sports.io/football/teams/36.png,True,0,1,0,0,0,1,,,,
Premier League,1035040,D. Coote,UTC,2023-08-12T14:00:00+00:00,1691848800,1691848800,1691852400,508.0,The American Express Community Stadium,"Falmer, East Sussex",Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,51,Brighton,https://media.api-sports.io/football/teams/51.png,True,1359,Luton,https://media.api-sports.io/football/teams/1359.png,False,4,1,1,0,4,1,,,,
Premier League,1035042,J. Brooks,UTC,2023-08-12T14:00:00+00:00,1691848800,1691848800,1691852400,581.0,Bramall Lane,Sheffield,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,62,Sheffield Utd,https://media.api-sports.io/football/teams/62.png,False,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,True,0,1,0,0,0,1,,,,
Premier League,1035043,A. Madley,UTC,2023-08-12T16:30:00+00:00,1691857800,1691857800,1691861400,562.0,St. James' Park,Newcastle upon Tyne,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,34,Newcastle,https://media.api-sports.io/football/teams/34.png,True,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,False,5,1,2,1,5,1,,,,
Premier League,1035044,R. Jones,UTC,2023-08-13T13:00:00+00:00,1691931600,1691931600,1691935200,10503.0,Gtech Community Stadium,"Brentford, Middlesex",Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,55,Brentford,https://media.api-sports.io/football/teams/55.png,,47,Tottenham,https://media.api-sports.io/football/teams/47.png,,2,2,2,2,2,2,,,,
Premier League,1035045,A. Taylor,UTC,2023-08-13T15:30:00+00:00,1691940600,1691940600,1691944200,519.0,Stamford Bridge,London,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,49,Chelsea,https://media.api-sports.io/football/teams/49.png,,40,Liverpool,https://media.api-sports.io/football/teams/40.png,,1,1,1,1,1,1,,,,
Premier League,1035046,S. Hooper,UTC,2023-08-14T19:00:00+00:00,1692039600,1692039600,1692043200,556.0,Old Trafford,Manchester,Match Finished,FT,90,,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb-eng.svg,2023,Regular Season - 1,True,33,Manchester United,https://media.api-sports.io/football/teams/33.png,True,39,Wolves,https://media.api-sports.io/football/teams/39.png,False,1,0,0,0,1,0,,,,
